Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.0,14.3,196.9,46,457,57,94
2,5.0,27.3,156.6,91,613,65,95
3,6.5,37.8,144.9,115,695,69,96
4,8.5,52.2,139.7,128,741,71,99
5,10.0,63.4,137.3,135,765,73,101
6,11.5,74.4,134.4,144,796,73,102
7,13.0,85.8,134.1,145,799,74,104
8,15.0,100.8,133.5,147,806,74,107
9,16.5,112.2,131.9,153,824,75,108
10,18.0,123.9,129.8,160,850,77,110
11,19.5,135.7,127.6,168,879,78,111
12,21.0,147.6,126.7,172,892,78,112
13,22.5,159.3,127.9,167,875,76,112
14,24.5,175.0,127.5,169,881,77,112
15,26.0,186.9,127.6,168,879,78,112
16,27.5,198.9,125.4,177,910,79,113
17,29.0,211.0,125.3,178,912,79,113
18,30.5,222.8,126.1,175,900,79,114
19,32.0,234.9,125.1,179,915,79,114
20,33.5,246.9,125.1,179,915,79,114
21,35.0,259.2,124.0,184,931,80,115
22,36.5,271.3,123.0,188,947,81,115
23,38.0,283.6,122.7,189,952,81,116
24,39.5,296.0,122.0,193,963,82,117
25,41.0,308.4,121.3,196,974,81,117
26,42.5,320.7,122.2,192,960,81,119
27,44.0,333.2,121.3,196,974,82,121
28,45.5,345.7,120.3,201,991,82,121
29,47.0,358.2,120.8,199,983,82,123
30,48.5,370.5,121.3,196,974,82,124
31,49.5,378.9,120.8,199,983,82,125
32,51.0,391.3,122.2,192,960,80,126
33,52.5,403.3,123.1,188,945,80,127
34,54.0,415.8,122.5,190,955,81,128
35,55.5,428.3,120.4,201,990,83,128
36,57.0,441.0,119.1,207,1013,83,129
37,58.5,453.6,118.3,211,1027,83,129
38,60.0,466.4,118.4,211,1025,83,130
39,61.5,478.9,119.1,207,1013,82,130
40,63.0,491.5,120.6,200,986,81,130
41,64.5,503.7,121.6,195,969,80,131
42,66.0,516.1,122.2,192,960,80,131
43,67.5,528.4,122.3,191,958,80,131
44,69.0,540.7,122.6,190,953,80,132
45,70.5,553.0,121.2,197,976,81,132
