Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.5,6.3,0.0,,,48,75
2,2.5,12.2,0.0,,,48,77
3,3.6,19.1,187.0,54,484,59,78
4,4.3,24.5,187.0,54,484,59,78
5,5.0,30.3,142.2,122,718,71,78
6,5.8,36.3,142.2,122,718,71,79
7,6.6,42.5,126.4,173,896,77,79
8,7.3,48.8,126.4,173,896,77,79
9,8.3,56.9,121.6,195,969,78,80
10,9.1,63.1,121.6,195,969,78,80
11,9.8,69.2,122.7,189,952,77,80
12,10.6,75.5,122.7,189,952,77,81
13,11.3,81.6,120.8,199,983,81,81
14,12.0,87.6,120.8,199,983,81,82
15,12.8,93.8,124.5,181,924,82,82
16,13.3,97.9,124.5,181,924,82,83
17,14.1,104.2,122.0,193,963,84,83
18,14.8,110.3,122.0,193,963,84,84
19,15.5,116.6,120.8,199,983,84,85
20,16.3,123.0,120.8,199,983,84,85
21,16.8,127.2,119.3,206,1009,86,86
22,17.6,133.6,119.3,206,1009,86,88
23,18.3,139.8,118.7,209,1020,85,88
24,19.0,146.0,118.7,209,1020,85,89
25,19.8,152.1,121.1,197,978,83,90
26,20.5,158.3,121.1,197,978,83,91
27,21.3,164.4,122.6,190,953,83,91
28,22.0,170.5,123.6,185,937,82,93
29,22.5,174.5,123.6,185,937,82,94
30,23.3,180.7,123.6,185,937,82,95
31,24.0,186.9,122.5,190,955,85,95
32,24.8,193.2,122.5,190,955,85,97
33,25.5,199.5,119.8,204,1000,85,98
34,26.3,205.7,120.7,199,985,85,98
35,26.8,209.9,120.7,199,985,85,100
36,27.5,216.1,120.7,199,985,85,101
37,28.3,222.2,121.3,196,974,84,101
38,29.1,228.4,121.3,196,974,84,102
39,29.8,234.5,122.7,189,952,83,103
40,30.5,240.5,122.7,189,952,83,104
41,31.3,246.8,123.3,187,942,84,104
42,32.0,253.0,121.5,195,971,84,105
43,32.5,257.0,121.5,195,971,84,105
44,33.3,263.2,121.5,195,971,84,105
45,34.0,269.3,122.9,189,948,83,106
46,34.8,275.4,122.9,189,948,83,107
47,35.5,281.8,121.8,194,966,85,107
48,36.3,288.2,121.8,194,966,85,107
49,36.8,292.4,118.5,210,1023,87,108
50,37.5,298.8,118.5,210,1023,87,108
51,38.3,305.2,117.5,216,1042,86,108
52,39.0,311.5,117.5,216,1042,86,108
53,39.8,317.7,119.2,207,1011,85,109
54,40.3,321.9,119.2,207,1011,85,109
55,41.0,328.2,119.8,204,1000,85,109
56,41.8,334.5,119.8,204,1000,85,109
57,42.5,340.7,120.7,199,985,86,110
58,43.3,347.0,120.7,199,985,86,110
59,44.0,353.4,119.4,206,1007,86,110
60,44.6,357.7,119.4,206,1007,86,110
61,45.3,364.1,118.1,212,1031,87,110
62,46.1,370.5,118.1,212,1031,87,110
63,46.8,376.8,118.2,212,1029,86,111
64,47.3,380.9,118.2,212,1029,86,111
65,48.0,387.3,118.6,210,1022,87,111
66,48.8,393.7,118.6,210,1022,87,112
67,49.5,399.9,118.9,208,1016,86,112
68,50.3,406.3,118.9,208,1016,86,112
69,50.8,410.5,120.1,202,995,86,113
70,51.6,416.7,120.1,202,995,86,113
71,52.3,422.9,120.0,203,997,84,113
72,53.0,429.0,120.0,203,997,84,114
73,53.8,435.2,121.6,195,969,84,114
74,54.5,441.2,121.6,195,969,84,115
75,55.3,447.3,123.8,184,934,82,115
76,56.0,453.4,123.8,184,934,82,115
77,56.8,459.5,123.7,185,936,83,116
78,57.3,463.7,123.7,185,936,83,116
79,58.0,469.8,122.1,192,961,84,116
80,58.8,476.0,122.1,192,961,84,116
81,59.5,482.1,122.3,191,958,84,117
82,60.3,488.4,122.3,191,958,84,117
83,61.0,494.8,121.0,198,979,86,117
84,61.5,499.0,121.0,198,979,86,117
85,62.3,505.4,118.2,212,1029,86,117
86,63.1,511.8,118.2,212,1029,86,117
87,63.8,518.1,118.5,210,1023,86,118
88,64.5,524.4,118.5,210,1023,86,118
89,65.0,528.6,118.5,210,1023,86,118
90,65.8,535.0,118.5,210,1023,86,118
91,66.5,541.3,118.9,208,1016,86,119
92,67.3,547.6,118.9,208,1016,86,119
93,68.0,554.0,119.5,205,1005,86,119
94,68.5,558.1,119.5,205,1005,86,120
95,69.3,564.4,118.7,209,1020,86,120
96,70.0,570.8,118.7,209,1020,86,120
97,70.8,577.1,119.4,206,1007,85,121
98,71.5,583.4,119.4,206,1007,85,122
99,72.0,587.5,120.1,202,995,85,122
100,72.8,593.8,120.1,202,995,85,122
101,73.5,600.1,119.6,205,1004,85,122
102,74.3,606.5,119.6,205,1004,85,123
103,75.0,612.6,118.9,208,1016,85,123
104,75.8,618.8,118.9,208,1016,85,124
105,76.5,624.7,122.8,189,950,81,125
106,77.3,630.7,125.8,176,905,81,125
107,78.0,636.7,125.8,176,905,81,125
108,78.5,640.8,125.8,176,905,81,126
109,79.3,647.1,123.4,186,941,83,126
110,80.0,653.5,123.4,186,941,83,126
111,80.8,659.7,119.3,206,1009,85,127
112,81.5,666.0,119.3,206,1009,85,127
113,82.3,672.2,120.0,203,997,85,127
114,82.8,676.3,120.0,203,997,85,128
115,83.6,682.7,120.4,201,990,85,128
116,84.3,689.0,120.4,201,990,85,128
117,85.0,695.3,119.6,205,1004,85,129
118,85.8,701.6,120.1,202,995,85,129
119,86.3,705.7,120.1,202,995,85,129
120,87.0,711.9,120.1,202,995,85,129
121,87.8,718.0,121.1,197,978,84,130
122,88.5,724.2,121.1,197,978,84,130
123,89.3,730.3,122.2,192,960,83,130
124,90.0,736.5,122.2,192,960,83,130
125,90.8,742.6,122.7,189,952,83,130
126,91.5,748.8,122.5,190,955,83,131
127,92.3,754.8,122.5,190,955,83,131
128,92.8,759.0,122.5,190,955,83,131
129,93.5,765.1,123.0,188,947,83,131
130,94.3,771.3,123.0,188,947,83,131
131,95.0,777.4,122.1,192,961,83,132
132,95.8,783.5,122.1,192,961,83,132
133,96.5,789.5,123.4,186,941,81,132
134,97.3,795.5,123.4,186,941,81,133
135,98.0,801.7,124.6,181,922,82,133
136,98.8,807.7,124.6,181,922,82,133
137,99.5,813.9,123.7,185,936,81,133
138,100.0,817.9,123.7,185,936,81,133
139,100.8,824.1,123.4,186,941,83,133
140,101.5,830.2,123.4,186,941,83,133
141,102.3,836.5,121.7,194,968,84,133
142,103.0,842.9,121.7,194,968,84,133
143,103.8,849.0,119.2,207,1011,86,133
144,104.3,853.0,119.2,207,1011,86,133
145,105.0,859.0,124.0,184,931,87,133
146,105.8,865.2,124.0,184,931,87,133
147,106.3,869.2,124.1,183,930,87,133
148,107.0,875.3,124.1,183,930,87,133
149,107.8,881.3,123.9,184,933,87,133
150,108.5,887.3,123.9,184,933,87,133
151,109.3,893.3,124.9,180,918,86,133
152,109.8,897.2,124.9,180,918,86,133
153,110.5,903.2,126.1,175,900,86,133
154,111.3,909.1,126.1,175,900,86,133
155,112.0,915.0,127.0,171,888,85,133
156,112.8,920.9,127.6,168,879,85,133
157,113.3,924.9,127.6,168,879,85,133
158,114.0,930.8,127.6,168,879,85,133
159,114.8,936.8,126.3,174,897,86,134
160,115.5,942.8,126.3,174,897,86,134
161,116.0,946.9,125.5,177,909,86,134
162,116.8,952.9,125.5,177,909,86,134
163,117.5,958.8,125.7,176,906,86,134
164,118.3,964.9,125.7,176,906,86,134
165,119.0,971.0,124.8,180,919,88,134
166,119.5,975.1,124.8,180,919,88,134
167,120.3,981.1,123.9,184,933,87,135
168,121.0,987.1,123.9,184,933,87,135
169,121.5,991.1,124.9,180,918,88,135
170,122.3,997.2,124.9,180,918,88,135
171,123.0,1003.3,122.9,189,948,88,135
172,123.8,1009.5,122.9,189,948,88,135
173,124.3,1013.4,124.0,184,931,87,135
174,125.0,1019.4,124.0,184,931,87,135
175,125.8,1025.4,125.7,176,906,86,135
176,126.5,1031.3,125.7,176,906,86,135
177,127.3,1037.3,126.4,173,896,86,135
178,127.8,1041.3,126.4,173,896,86,135
179,128.5,1047.2,126.0,175,902,86,135
180,129.3,1053.2,126.0,175,902,86,135
181,130.0,1059.1,126.3,174,897,85,135
182,130.8,1065.1,126.3,174,897,86,135
183,131.3,1069.2,126.3,174,897,86,135
184,132.0,1075.0,126.3,174,897,86,135
185,132.8,1081.0,126.1,175,900,85,135
186,133.5,1087.0,126.1,175,900,85,135
187,134.0,1091.0,125.8,176,905,86,135
188,134.8,1096.9,125.8,176,905,86,135
189,135.5,1102.6,128.0,167,874,84,134
190,136.3,1108.4,128.0,167,874,84,134
191,137.0,1114.3,129.7,160,852,83,134
192,137.8,1120.2,129.7,160,852,83,134
193,138.5,1126.0,128.8,164,863,84,134
194,139.0,1129.9,128.8,164,863,84,134
195,139.8,1135.8,128.9,163,862,85,134
196,140.5,1141.7,128.9,163,862,85,134
197,141.3,1147.6,127.4,169,882,86,134
198,142.0,1153.4,127.4,169,882,86,134
199,142.8,1159.3,127.0,171,888,85,134
200,143.3,1163.3,127.0,171,888,85,134
201,144.0,1169.2,128.1,167,873,85,135
202,144.8,1175.0,128.1,167,873,85,135
203,145.5,1181.0,128.0,167,874,85,135
204,146.3,1187.2,124.6,181,922,88,135
205,146.8,1191.1,124.6,181,922,88,135
206,147.5,1197.2,124.6,181,922,88,135
207,148.3,1203.2,124.6,181,922,87,135
208,149.0,1209.2,125.7,176,906,86,135
209,149.5,1213.1,125.7,176,906,86,136
210,150.3,1219.1,125.7,176,906,86,136
211,151.0,1225.0,125.9,175,903,86,136
212,151.8,1231.0,125.9,175,903,86,136
213,152.3,1234.9,126.8,172,890,86,136
214,153.0,1241.1,126.8,172,890,86,137
215,153.8,1247.1,125.5,177,909,87,137
216,154.5,1252.9,125.5,177,909,87,137
217,155.3,1259.0,125.6,177,907,86,137
218,155.8,1263.0,125.6,177,907,86,137
219,156.5,1269.0,125.8,176,905,87,137
220,157.3,1275.0,125.8,176,905,87,137
221,158.0,1281.0,124.8,180,919,87,137
222,158.5,1285.2,124.8,180,919,87,137
223,159.3,1291.2,124.3,182,927,87,137
224,160.0,1297.2,124.3,182,927,87,137
225,160.8,1303.2,125.2,178,913,87,137
226,161.3,1307.2,125.2,178,913,87,137
227,162.0,1313.2,124.8,180,919,86,136
228,162.8,1319.2,124.8,180,919,86,136
229,163.5,1325.1,125.8,176,905,86,136
230,164.3,1331.1,126.5,173,895,85,136
231,164.8,1335.0,126.5,173,895,85,136
232,165.5,1341.0,126.5,173,895,85,136
233,166.3,1346.9,126.6,172,893,86,136
234,167.0,1352.8,126.6,172,893,86,136
235,167.8,1358.8,126.8,172,890,86,136
236,168.3,1362.7,126.8,172,890,86,136
237,169.0,1368.7,126.2,174,899,86,136
238,169.8,1374.7,126.2,174,899,86,136
239,170.5,1380.7,125.5,177,909,86,136
240,171.0,1384.8,125.5,177,909,86,136
241,171.8,1390.8,125.4,177,910,86,136
242,172.5,1396.8,125.4,177,910,86,136
243,173.3,1402.8,125.4,177,910,87,136
244,173.8,1406.8,125.4,177,910,87,136
245,174.5,1412.8,125.3,178,912,87,136
246,175.3,1418.7,125.3,178,912,87,136
247,176.0,1424.7,126.0,175,902,86,136
248,176.8,1430.7,125.4,177,910,86,136
249,177.3,1434.8,125.4,177,910,86,136
250,178.0,1440.8,125.4,177,910,86,136
251,178.8,1446.8,125.4,177,910,86,136
252,179.5,1452.8,125.4,177,910,86,136
253,180.0,1456.8,125.0,179,916,87,136
254,180.8,1462.8,125.0,179,916,87,136
255,181.5,1468.8,125.5,177,909,87,136
256,182.3,1474.9,125.5,177,909,87,136
257,182.8,1479.0,124.0,184,931,88,136
258,183.5,1485.1,124.0,184,931,88,136
259,184.3,1491.1,123.8,184,934,87,136
260,185.0,1497.1,123.8,184,934,87,136
261,185.5,1501.0,125.2,178,913,86,136
262,186.3,1506.9,125.2,178,913,86,136
263,187.0,1512.9,126.8,172,890,86,136
264,187.8,1518.8,126.8,172,890,86,136
265,188.5,1524.7,127.3,170,883,85,136
266,189.0,1528.7,127.3,170,883,85,136
267,189.8,1534.7,126.6,172,893,86,136
268,190.5,1540.6,126.6,172,893,86,136
269,191.3,1546.6,125.9,175,903,86,136
270,192.0,1552.5,125.9,175,903,86,136
271,192.5,1556.6,126.4,173,896,85,136
272,193.3,1562.5,126.4,173,896,85,136
273,194.0,1568.6,126.9,171,889,86,136
274,194.8,1574.6,126.9,171,889,86,136
275,195.3,1578.6,123.2,187,944,88,136
276,196.0,1584.6,123.2,187,944,88,136
277,196.8,1590.6,125.0,179,916,87,137
278,197.5,1596.5,125.0,179,916,87,137
279,198.3,1602.4,126.5,173,895,86,137
280,198.8,1606.5,126.5,173,895,86,137
281,199.5,1612.3,127.3,170,883,86,137
282,200.3,1618.3,127.3,170,883,86,137
283,201.0,1624.4,125.9,175,903,87,137
284,201.8,1630.4,125.4,177,910,87,137
285,202.3,1634.4,125.4,177,910,87,137
286,203.0,1640.4,125.4,177,910,87,137
287,203.8,1646.3,125.5,177,909,86,137
288,204.5,1652.3,125.5,177,909,86,137
289,205.0,1656.3,125.6,177,907,88,137
290,205.8,1662.3,125.6,177,907,88,137
291,206.5,1668.4,124.7,180,921,87,137
