Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.8,6.8,0.0,,,42,87
2,2.8,12.5,0.0,,,42,88
3,3.8,18.8,194.5,48,463,56,88
4,4.8,25.7,152.2,99,641,70,89
5,5.6,31.2,152.2,99,641,70,89
6,6.3,36.8,152.2,99,641,70,89
7,7.1,42.7,135.2,142,787,76,90
8,7.8,48.4,135.2,142,787,76,91
9,8.6,54.2,130.6,157,840,76,91
10,9.3,60.1,130.6,157,840,76,92
11,10.1,65.9,129.3,162,857,78,93
12,10.8,71.9,129.3,162,857,78,94
13,11.6,77.9,126.2,174,899,80,94
14,12.3,83.9,126.2,174,899,80,95
15,13.1,89.9,125.5,177,909,81,96
16,13.8,96.0,125.5,177,909,81,96
17,14.6,102.1,124.4,182,925,81,96
18,15.3,108.3,124.4,182,925,81,96
19,16.1,114.4,123.1,188,945,82,96
20,16.8,120.4,123.1,188,945,82,97
21,17.6,126.6,123.1,188,945,82,97
22,18.3,132.7,123.1,188,945,82,97
23,19.1,138.9,122.8,189,950,82,97
24,19.8,144.9,122.8,189,950,82,98
25,20.6,151.1,123.2,187,944,82,98
26,21.3,157.2,123.2,187,944,82,99
27,22.1,163.5,121.9,193,964,82,99
28,22.8,169.6,122.6,190,953,82,100
29,23.6,175.7,122.6,190,953,82,100
30,24.1,179.8,122.6,190,953,82,101
31,24.8,186.1,121.4,196,973,82,101
32,25.6,192.5,121.4,196,973,82,101
33,26.3,198.8,119.3,206,1009,84,102
34,27.1,205.1,119.3,206,1009,84,102
35,27.8,211.5,118.4,211,1025,84,103
36,28.6,217.9,118.4,211,1025,84,103
37,29.3,224.3,118.1,212,1031,84,103
38,29.8,228.6,118.1,212,1031,84,103
39,30.6,235.1,117.7,215,1038,85,103
40,31.3,241.5,117.7,215,1038,85,104
41,32.1,248.0,115.9,225,1073,85,104
42,32.8,254.4,115.9,225,1073,85,105
43,33.6,260.8,117.2,217,1048,85,105
44,34.1,265.1,117.2,217,1048,85,106
45,34.8,271.5,117.5,216,1042,85,107
46,35.6,277.9,117.5,216,1042,85,107
47,36.3,284.5,117.0,219,1052,86,108
48,37.1,290.9,117.0,219,1052,86,109
49,37.6,295.4,115.3,228,1085,86,109
50,38.3,301.8,115.3,228,1085,86,110
51,39.1,308.5,114.8,231,1096,88,111
52,39.8,315.1,114.8,231,1096,88,112
53,40.6,321.6,114.1,236,1110,86,112
54,41.1,326.0,114.1,236,1110,86,112
55,41.8,332.5,115.4,228,1083,87,113
56,42.6,339.1,115.4,228,1083,87,113
57,43.3,345.7,114.9,231,1094,87,114
58,43.8,350.1,114.9,231,1094,87,114
59,44.6,356.7,114.0,236,1113,87,114
60,45.3,363.3,114.0,236,1113,87,115
