Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.6,4.9,0.0,,,48,
2,2.6,9.7,0.0,,,48,
3,3.4,13.9,230.5,29,398,63,
4,4.1,18.5,230.5,29,398,63,
5,4.9,23.4,169.5,72,547,78,
6,5.6,28.6,169.5,72,547,78,
7,6.4,33.8,149.2,105,662,84,
8,7.1,39.1,149.2,105,662,84,
9,7.6,42.7,141.4,124,726,88,
10,8.4,48.2,141.4,124,726,88,
11,9.1,53.9,136.8,137,770,90,
12,9.6,57.6,136.8,137,770,90,
13,10.4,63.2,134.1,145,799,91,
14,11.1,68.9,134.6,144,793,91,
15,11.6,72.6,134.6,144,793,91,
16,12.4,78.2,134.6,144,793,91,
17,13.1,83.8,133.7,146,804,91,
18,13.6,87.5,133.7,146,804,91,
19,14.4,93.1,134.6,144,793,91,
20,14.9,96.8,134.6,144,793,91,
21,15.6,102.2,136.0,139,778,89,
22,16.4,107.4,136.0,139,778,89,
23,17.1,113.5,141.2,124,727,86,
24,17.9,119.9,118.8,209,1018,88,
25,18.4,124.4,118.8,209,1018,88,
26,19.1,130.8,118.8,209,1018,88,
27,19.9,137.2,116.2,223,1067,86,
28,20.6,143.7,116.8,220,1055,87,
29,21.1,148.0,116.8,220,1055,87,
30,21.9,154.4,116.8,220,1055,87,
31,22.6,161.0,116.3,222,1065,87,
32,23.4,167.4,116.5,221,1061,87,
33,23.9,171.7,116.5,221,1061,87,
34,24.6,178.1,116.5,221,1061,87,
35,25.4,184.6,116.9,219,1054,87,
36,26.1,191.0,117.6,215,1040,85,
37,26.6,195.2,117.6,215,1040,85,
38,27.4,201.4,117.6,215,1040,85,
39,28.1,207.7,120.0,203,997,84,
40,28.9,213.8,120.0,203,997,84,
41,29.6,220.1,120.6,200,986,84,
42,30.4,226.3,120.6,200,986,84,
43,31.1,232.5,121.3,196,974,83,
44,31.6,236.7,121.3,196,974,83,
45,32.4,242.9,121.0,198,979,84,
46,33.1,249.0,121.0,198,979,84,
47,33.9,255.2,120.9,198,981,83,
48,34.6,261.4,120.9,198,981,83,
49,35.4,267.6,122.0,193,963,83,
50,36.1,273.9,122.0,193,963,83,
51,36.9,280.2,121.5,195,971,84,
52,37.4,284.4,121.5,195,971,84,
53,38.1,290.7,118.9,208,1016,86,
54,38.9,297.0,118.9,208,1016,86,
55,39.6,303.3,119.4,206,1007,84,
56,40.4,309.5,119.4,206,1007,84,
57,40.9,313.7,120.3,201,991,85,
58,41.6,320.0,120.3,201,991,85,
59,42.4,326.1,120.5,200,988,84,
60,43.1,332.3,120.5,200,988,84,
61,43.9,338.7,121.0,198,979,85,
62,44.6,345.1,121.0,198,979,85,
63,45.1,349.4,118.3,211,1027,86,
64,45.9,355.8,118.3,211,1027,86,
65,46.6,362.1,117.8,214,1036,87,
66,47.4,368.5,117.8,214,1036,87,
67,48.1,374.8,118.2,212,1029,86,
68,48.6,379.0,118.2,212,1029,86,
69,49.4,385.4,119.1,207,1013,86,
70,50.1,391.8,119.1,207,1013,86,
71,50.9,398.1,118.1,212,1031,86,
72,51.6,404.4,118.1,212,1031,86,
73,52.4,410.5,119.6,205,1004,84,
74,52.9,414.7,119.6,205,1004,84,
75,53.6,421.0,120.7,199,985,84,
76,54.4,427.3,120.7,199,985,84,
77,55.1,433.6,119.8,204,1000,86,
78,55.9,439.9,119.8,204,1000,86,
79,56.4,444.1,118.6,210,1022,85,
80,57.1,450.4,118.6,210,1022,85,
81,57.9,456.7,119.7,204,1002,85,
82,58.6,463.0,119.7,204,1002,85,
83,59.4,469.5,119.2,207,1011,86,
84,60.1,475.8,118.6,210,1022,86,
85,60.6,480.0,118.6,210,1022,86,
86,61.4,486.3,118.6,210,1022,86,
87,62.1,492.6,119.1,207,1013,85,
88,62.9,498.9,119.1,207,1013,85,
89,63.6,505.2,119.8,204,1000,84,
90,64.4,511.5,120.2,202,993,84,
91,64.9,515.6,120.2,202,993,84,
92,65.6,521.9,120.2,202,993,84,
