Week,session,exercise,modality ,SetAdjust
all,Push1,bench,5x531,
all,Push1,kab bench,Tech,
all,Push1,db incline,Supp,
all,Legs1,Squat,WendDouble,
all,Legs1,Front,Tech,
all,Legs1,SLDL,Hyp,
all,Pull1,Deadlift ,WendDouble,
all,Pull1,Trap,Strength,
all,Pull1,T-bar,Supp,2
all,Pull1,Meadows,Hyp,1
all,Push2,Bandbell standing press,Supp,2
all,Push2,Floor,Supp,2
all,Legs1,Pause,ClusterSingles,
all,Legs2,Box,Strength,
all,Legs2,goodMorning,Hyp,
all,Pull2,Pendlay row,Hyp,2
all,Pull2,Cable row,Hyp,
