RPE,1 REP,2 REPS,3 REPS,4 REPS,5 REPS,6 REPS,7 REPS,8 REPS,9 REPS,10 REPS,11 REPS,12 REPS,13 REPS,14 REPS,15 REPS,16 REPS
10 RPE,100.00%,93.80%,90.90%,88.20%,85.70%,83.30%,81.10%,79.00%,76.90%,75.00%,73.20%,71.40%,69.80%,68.20%,66.70%,65.20%
9.5 RPE,0.969,0.9235,0.8955,0.8695,0.845,0.822,0.8005,0.7795,0.7595,0.741,0.723,0.706,0.69,0.6745,0.6595,0.6445
9.0 RPE,0.938,0.909,0.882,0.857,0.833,0.811,0.79,0.769,0.75,0.732,0.714,0.698,0.682,0.667,0.652,0.637
8.5 RPE,0.9235,0.8955,0.8695,0.845,0.822,0.8005,0.7795,0.7595,0.741,0.723,0.706,0.69,0.6745,0.6595,0.6445,0.6295
8.0 RPE,0.909,0.882,0.857,0.833,0.811,0.79,0.769,0.75,0.732,0.714,0.698,0.682,0.667,0.652,0.637,0.622
7.5 RPE,0.8955,0.8695,0.845,0.822,0.8005,0.7795,0.7595,0.741,0.723,0.706,0.69,0.6745,0.6595,0.6445,0.6295,0.6145
7.0 RPE,0.882,0.857,0.833,0.811,0.79,0.769,0.75,0.732,0.714,0.698,0.682,0.667,0.652,0.637,0.622,0.607
6.5 RPE,0.8695,0.845,0.822,0.8005,0.7795,0.7595,0.741,0.732,0.706,0.69,0.6745,0.6595,0.6445,0.6295,0.6145,0.5995
6.0 RPE,0.857,0.833,0.811,0.79,0.769,0.75,0.732,0.723,0.698,0.682,0.667,0.652,0.637,0.622,0.607,0.592
5.5 RPE,0.845,0.822,0.8005,0.7795,0.7595,0.741,0.723,0.714,0.69,0.6745,0.6595,0.6445,0.6295,0.6145,0.5995,0.5845
5.0 RPE,0.833,0.811,0.79,0.769,0.75,0.732,0.714,0.706,0.682,0.667,0.652,0.637,0.622,0.607,0.592,0.577
4.5 RPE,0.822,0.8005,0.7795,0.7595,0.741,0.723,0.706,0.698,0.6745,0.6595,0.6445,0.6295,0.6145,0.5995,0.5845,0.5695
4.0 RPE,0.811,0.79,0.769,0.75,0.732,0.714,0.698,0.69,0.667,0.652,0.637,0.622,0.607,0.592,0.577,0.562
3.5 RPE,0.8005,0.7795,0.7595,0.741,0.723,0.706,0.69,0.682,0.6595,0.6445,0.6295,0.6145,0.5995,0.5845,0.5695,0.5545
3.0 RPE,0.79,0.769,0.75,0.732,0.714,0.698,0.682,0.6745,0.652,0.637,0.622,0.607,0.592,0.577,0.562,0.547
2.5 RPE,0.7795,0.7595,0.741,0.723,0.706,0.69,0.6745,0.667,0.6445,0.6295,0.6145,0.5995,0.5845,0.5695,0.5545,0.5395
2.0 RPE,0.769,0.75,0.732,0.714,0.698,0.682,0.667,0.6595,0.637,0.622,0.607,0.592,0.577,0.562,0.547,0.532
1.5 RPE,0.7595,0.741,0.723,0.706,0.69,0.6745,0.6595,0.652,0.6295,0.6145,0.5995,0.5845,0.5695,0.5545,0.5395,0.5245
1.0 RPE,0.75,0.732,0.714,0.698,0.682,0.667,0.652,0.6445,0.622,0.607,0.592,0.577,0.562,0.547,0.532,0.517
0.5 RPE,0.741,0.723,0.706,0.69,0.6745,0.6595,0.6445,0.637,0.6145,0.5995,0.5845,0.5695,0.5545,0.5395,0.5245,0.5095
0.0 RPE,0.732,0.714,0.69,0.682,0.667,0.652,0.637,0.6295,0.607,0.592,0.577,0.562,0.547,0.532,0.517,0.502
