,,Week 1,,,,,,Week 2,,,,,,Week 3,,,,,,Week 4,,,,,,Week 5,,,,,,Week 6,,,,,,Week 7,,,,,,Week 8,,,,,,Week 9,,,,,,
movement,method,wrk_1,set,reps,weight,target,actual,wrk_2,set,reps,weight,target,actual,wrk_3,set,reps,weight,target,actual,wrk_4,set,reps,weight,target,actual,wrk_5,set,reps,weight,target,actual,wrk_6,set,reps,weight,target,actual,wrk_7,set,reps,weight,target,actual,wrk_8,set,reps,weight,target,actual,wrk_9,set,reps,weight,target,actual,wrk_10
Press,rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incline,9supp,105,4,8,74,8,,105,4,7,76,7,13,110,4,6,82,6,,110,4,7,81,7,12,114,4,6,87,6,9,116,4,5,92,5,5,116,4,6,92,6,8,118,4,5,96,5,10,123,4,4,102,4,,123
bandbell bench,9hyp,110,3,12,72,14,,110,3,11,74,13,,110,3,10,77,12,,110,3,11,74,13,13,110,3,10,77,9,10,111,3,9,83,11,8,108,3,10,76,12,9,106,3,9,73,11,,106,3,8,75,10,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front squat,bandtech,175,4,5,127,9,,175,4,4,136,7,,175,4,3,144,5,,175,4,4,136,7,,175,4,6,144,5,,175,4,3,144,6,,175,4,3,83,5,,175,4,2,88,3,,175,4,1,93,2,,175
tsunami squat,9str,220,3,8,154,8,,220,3,7,160,7,,220,3,6,165,6,,220,3,7,163,7,9,223,3,6,171,2,,223,3,6,195,5,,223,3,6,79,6,,223,3,5,81,5,,223,3,4,83,4,,223
sumo,rm,285,3,3,200,,,285,3,2,221,,,285,3,1,242,5,,285,2,3,207,,,285,2,2,228,,,285,2,1,249,,,,,,,,,,,,,,,,,,,,,
sldl,9supp,313,3,8,219,8,8,313,2,7,227,7,9,344,3,6,258,6,,344,3,7,255,7,,190,3,6,145,6,,190,3,6,570,6,,190,3,6,79,6,,190,3,5,81,5,,190,3,4,83,4,,190
seal row,bandtech,104,4,12,68,14,14,104,4,11,70,13,,104,4,10,73,,,104,4,11,70,13,17,107,4,10,75,12,,107,4,10,78,3,,107,4,10,70,12,,107,4,9,73,11,,107,4,8,75,10,,107
,rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,5,,,,,,,,,,,,,,
Tsunami bench,9supp,36,3,12,23,14,13,36,3,11,26,7,,36,3,10,27,6,,139,3,7,103,7,12,144,4,6,110,5,,144,4,5,114,6,,144,4,6,114,6,,144,4,5,81,5,,144,4,4,83,4,,144
ss press,9hyp,143,4,8,100,8,6,141,4,7,102,7,10,144,4,6,108,12,,144,4,11,112,13,,144,5,10,119,9,,144,5,2,126,10,8,130,5,3,83,5,,130,5,2,88,3,,130,5,1,93,2,,130
Squat,rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pause,9str,220,5,5,160,9,9,220,5,4,171,7,,242,5,3,200,12,,242,5,4,188,7,,242,5,6,185,9,,242,4,2,212,3,3,242,5,3,200,5,6,244,4,2,213,3,,244,4,4,93,4,,244
goodmorning,9supp,110,4,8,77,8,,110,4,7,80,7,9,112,4,6,84,6,8,113,4,7,83,7,,113,4,3,79,2,,113,4,5,89,6,9,130,4,6,102,6,,130,4,5,88,5,,130,5,4,83,4,,130
pendlay row,9supp,100,5,8,70,8,8,100,5,7,73,7,,100,5,6,75,6,12,103,5,7,76,7,,103,5,6,77,6,,103,5,5,81,6,10,106,5,6,79,6,11,110,5,5,81,5,,110,5,4,83,4,,110
meadows,9hyp,77,4,12,50,14,,81,4,11,55,13,,81,4,10,57,6,13,81,4,11,55,13,,81,4,10,57,12,,81,4,9,59,6,,81,4,10,70,12,,81,4,9,72.5,11,,81,4,8,75,10,,81
