,mini_short,monsterMini_short,light_short,average_short,mini,monsterMini,light,average
24,47.2,65.2,87.3,121.5,,,,
26,50.3,70.4,93.9,132.3,,,,
28,53.3,75.3,99.9,142.0,,,,
30,56.0,78.8,105.4,150.7,,,,
32,58.5,84.0,110.3,158.3,,,,
34,60.9,87.8,114.6,164.8,,,,
36,63.0,91.3,118.3,170.3,13.8,25.5,56.8,86.9
38,64.9,84.5,121.5,174.7,14.7,27.0,60.5,92.7
40,66.7,97.3,124.1,178.1,15.5,28.5,64.2,98.5
42,68.2,99.7,126.1,180.5,16.4,30.0,67.8,104.1
44,69.6,101.8,127.6,181.7,17.2,31.4,71.3,109.6
46,70.7,103.6,128.5,182.0,18.0,32.9,74.7,115.0
48,71.7,105.0,128.9,181.1,18.8,34.3,78.1,120.3
50,72.5,106.1,128.7,179.2,19.6,35.6,81.4,125.4
52,,,,,20.3,37.0,84.7,130.5
54,,,,,21.1,38.3,87.8,135.4
56,,,,,21.8,39.6,90.9,140.2
58,,,,,22.5,40.8,94.0,145.0
60,,,,,23.1,42.1,96.9,149.6
62,,,,,23.8,43.3,99.8,154.0
64,,,,,24.4,44.4,102.6,158.4
66,,,,,25.0,45.6,105.4,162.6
68,,,,,26.6,46.7,108.1,166.8
70,,,,,26.2,47.8,110.7,170.8
72,,,,,26.8,48.9,113.3,174.7
74,,,,,27.3,49.9,115.7,178.5
76,,,,,27.8,50.9,118.1,182.2
78,,,,,28.3,51.9,120.5,185.7
80,,,,,28.8,52.9,122.7,189.2
82,,,,,29.2,53.9,124.9,192.5
